id,zeile,badgegeber_id,name,deklarierte_funktion,infocube_url,infocube_id,mandat_aktiv,bemerkungen,quelle,rote_flagge
466,220,220,"Buholzer René","Credit Suisse",http://infocube.ch/de/p/4931043/buholzer-rene-paul,4931043.0,"","CS: Leiter Public Affairs
ICC: Vorstand http://www.icc-switzerland.ch/de/icc-schweiz/vorstand
Young Leaders Alumni Foundation
Dr. Heinrich Wachter Stiftung","",""
467,221,221,"Ziltener Erika","Dachverband Schweizerischer Patientenstellen",http://infocube.ch/de/p/872550/ziltener-erika,872550.0,"","Präsidentin des Daverbands: http://www.patientenstelle.ch/de/ueber-uns","",""
468,222,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,223,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,224,224,"Saxenhofer Peter","INSOS Schweiz",http://infocube.ch/de/p/729397/saxenhofer-peter-eugen-seraphin#activeMandates,729397.0,"","""INSOS Schweiz"", Geschäftsführer, http://www.insos.ch/verband/geschaeftsstellen/mitarbeitende/
Ex-Geschäfsleiter VCS Schweiz, http://www.verkehrsclub.ch/de/online/medien/medienmitteilungen.html?tx_frpredakartikel_pi3_detail=7772","",""
471,225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,226,226,"Koch Anne",Greenpeace,"","","","","",""
473,227,227,"Byland Karin","Persönliche Mitarbeiterin","Zu ungenau","","","","",""
474,228,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,229,229,"Langenegger Walter","Stadtverwaltung Bern","","","","","",""
476,230,230,"Durrer Urs","Amt für Wirtschaft des Kantons Schwyz","","","","","",""
477,231,231,"Michaud Gigon Sophie","Pro Natura",https://infocube.ch/de/p/6702969/michaud-gigon-sophie-alda-linette#activeMandates,6702969.0,"","","",""
478,232,232,"Schneuwly Felix",comparis.ch,https://infocube.ch/de/p/4442814/schneuwly-felix,4442814.0,"","","",""
479,233,233,"Schaffner Ursula","Persönliche Mitarbeiterin","Zu ungenau","","","","",""
480,234,234,"Jurendic Marinko",Gast,"","","","","",""
481,235,235,"Egle Franz","Dynamics Group",http://infocube.ch/de/p/1190796/egle-franz,1190796.0,"","Ex-VR Mitglied Andermatt Hotel Holding AG, enge Verbindung zu Sawiris (hat Deal in Andermatt eingefädelt), seine Agentur macht(e) Lobbying für EADS / Eurofighter im Kampfjet-Entscheid, weiterer Kunde der Agentur: WEF","",""
482,236,236,"Fust Michael","Neue Europäische Bewegung Schweiz (Nebs)","","","","","",""
483,237,237,"Flückiger Stefan","Berner Waldbesitzer (BWB)","","","","","",""
484,238,238,"Montangero Stephane ","Fourchette verte Suisse","","","","","",""
485,239,239,"Schneider Urs","Persönlicher Mitarbeiter","Zu ungenau","","","","",""
486,240,240,"Linder Stefan","Swiss Economic Forum",https://infocube.ch/de/p/1038098/linder-stefan,1038098.0,"","","",""
487,241,241,"Thalhammer Alexandra",Gast,https://infocube.ch/de/p/p28007352913/thalhammer-alexandra#activeAddresses,p28007352913,"","","",""
488,242,242,"Kunz Stefan","Aqua Viva-Rheinaubund",https://infocube.ch/de/p/p24006194100/kunz-stefan,p24006194100,"","","",""
489,243,243,"Sariaslan Emine","Forum für die Integration der Migrantinnen und Migranten (FIMM)",https://infocube.ch/de/p/p22009442056/sariaslan-emine,p22009442056,"","","",""
490,244,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,245,245,"Tuti Giorgio","Gewerkschaft des Verkehrspersonals",https://infocube.ch/de/p/4573869/tuti-giorgio#activeMandates,4573869.0,"","","",""
492,246,246,"Stockmann Benedikt","Bürgerlich-Demokratische Partei (BDP) Kanton Zürich",https://infocube.ch/de/p/472127/stockmann-benedikt-maximilian#activeMandates,472127.0,"","","",""
